source_key,source_id,source_kind,source_category,publisher_th,source_url,source_url_precision,provenance_status,local_path,local_file_sha256,upstream_document_sha256,used_by_hash_datasets
4bb0f24799df6e1de88c2d215576ffad45fb92f27f4013453c7a0478fa90b7ec,acquired-bma-din-daeng-canal-custody-page,official_district_web_reference,gap_resolution_evidence,สำนักงานเขตดินแดง กรุงเทพมหานคร,https://webportal.bangkok.go.th/dindaeng/page/sub/618/%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87,exact_acquired_source_url,acquired_candidate,,,,"[""acquisition-source-evidence"",""acquisition-gap-resolution""]"
c356cac16a44ce4616ee6d038db7c5ddc589cf22711987bb9f6c2fc5890ef187,acquired-bma-policy-canal-dashboard-embedded-sample,official_web_dashboard_embedded_dataset,gap_resolution_evidence,กรุงเทพมหานคร,https://policy.bangkok.go.th/canals/,exact_acquired_source_url,acquired_candidate,,,,"[""acquisition-source-evidence"",""acquisition-gap-resolution""]"
f80c916bf95dd2468cab1a0788568a1b6de4d18b5ad2d5da3659ca8c018e3d16,acquired-bma-sedgis-canal-data-dictionary-pdf,official_data_dictionary_pdf,gap_resolution_evidence,กองระบบคลอง สำนักการระบายน้ำ กรุงเทพมหานคร,https://bmagis.bangkok.go.th/portal/sharing/rest/content/items/6564e53b7ec7457e87d2860dbd368445/data,exact_acquired_source_url,acquired_resolved,,,c5950c9d8b14fc00aba3c39f48cb6322fa68d3d821cdda6079ca7be301e51823,"[""acquisition-source-evidence"",""acquisition-gap-resolution""]"
b6ef4d381501622093686063851a21adb9b635408db08c86138f6f3011d78d3e,acquired-bma-sedgis-canal-inventory-csv-2021,official_arcgis_csv_collection,gap_resolution_evidence,กองระบบคลอง สำนักการระบายน้ำ กรุงเทพมหานคร,https://bmagis.bangkok.go.th/portal/sharing/rest/content/items/5660ebcb73ef4f31a6b019f82ac30ca2/data,exact_acquired_source_url,acquired_candidate,data/responsibility/acquisition/raw/bma_canal_inventory_2021/source_export.zip,385da56803b72bb6158b1c7f3fa4fa00f6ca99fb3a25af7b79a6a917e62ef501,,"[""acquisition-source-evidence"",""acquisition-gap-resolution""]"
b2debf385ab0f38bf8e903ac7eee2963469c2d728be493a7f5251b8f15d9bc22,acquired-bma-sedgis-canal-item-metadata-json,official_arcgis_item_metadata,gap_resolution_evidence,กองสารสนเทศภูมิศาสตร์ กรุงเทพมหานคร,https://bmagis.bangkok.go.th/portal/sharing/rest/content/items/5660ebcb73ef4f31a6b019f82ac30ca2?f=pjson,exact_acquired_source_url,acquired_resolved,data/responsibility/acquisition/raw/bma_canal_inventory_2021/arcgis_item.json,77178798bf668ef5b301ac2fda47a60c3e6c561a88b51f74078dbf2417aeb8b9,,"[""acquisition-source-evidence"",""acquisition-gap-resolution""]"
7ddf7e9faa4465f692e659b774e879a3949345d232a2f3b93add558ea50adfe9,acquired-bma-sedgis-canal-metadata-pdf,official_dataset_metadata_pdf,gap_resolution_evidence,กองระบบคลอง สำนักการระบายน้ำ กรุงเทพมหานคร,https://bmagis.bangkok.go.th/portal/sharing/rest/content/items/78ac7b4991e3427ca0e1f454c2eac61f/data,exact_acquired_source_url,acquired_resolved,,,0486f804cbb2f689d62b2ba6c26184142b0c881112ea60ca3f5b42f7c7bb04e5,"[""acquisition-source-evidence"",""acquisition-gap-resolution""]"
ce6149e245dd00e775898c461a21d8c759a3d01a3979367be8281340d6d31cea,acquired-bma-sedgis-data22rapid-canal-item,official_arcgis_feature_service_metadata,gap_resolution_evidence,กองสารสนเทศภูมิศาสตร์ กรุงเทพมหานคร,https://bmagis.bangkok.go.th/portal/sharing/rest/content/items/3915f994743647fe899ab4944dc0e2c6?f=pjson,exact_acquired_source_url,acquired_candidate,data/responsibility/acquisition/raw/data22rapid_canal_item.json,5ee5e79434b4d09479f3651f317a1f024253dc939a957cc574d987bd9881b5aa,,"[""acquisition-source-evidence"",""acquisition-gap-resolution""]"
a627fa2a615f4713eeb6a5446bc49610d994acec9912247dde3e513ec67cd29c,document-bang-kho-laem-flood-response-plan-2563-pdf,official_document,official_historical_district_flood_sop,สำนักงานเขตบางคอแหลม กรุงเทพมหานคร,https://webportal.bangkok.go.th/upload/user/00000071/GECC/Plan5.pdf,exact_document_url,content_hash_captured_pending_legal_review,,,1b9815e200d2dae8e9c1882c448b6d5e260c9f8d7bfda3b1441d2696d6b7a6f7,"[""evidence-data-source-registry"",""evidence-sop-process""]"
923ca2ab71e5f51edc07fa39a887c42309bbb88a56ec2af34acf46d58e5491b4,document-bma-authority-announcement-62-pdf,official_document,official_authority_announcement,กรุงเทพมหานคร,https://infocenter.oic.go.th/FILEWEB/CABINFOCENTER9/DRAWER063/GENERAL/DATA0000/00000549.PDF,exact_document_url,source_access_blocked_no_content_hash,,,,"[""evidence-data-source-registry""]"
f45fea575cc8d9042853509a495bfa47f1688b69fa15265d8861f3b635e95674,document-bma-disaster-prevention-plan-2564-2570-pdf,official_document,official_disaster_plan,กรุงเทพมหานคร,https://budget.bangkok.go.th/main/upload/2567/02/topic954_2024_02_16_10_23_03.pdf,exact_document_url,content_hash_captured_pending_legal_review,,,3cac6f9ceed904b75ea45deb89c505c6fba1193683e58f4674a2818050ee1b67,"[""evidence-data-source-registry"",""evidence-sop-process"",""evidence-district-office-flood-process""]"
